bm,bn,en,zh-CN,hi,es,fr
মি যাউরিগা,আমি যাচ্ছি,i am going,我要去,मैं जा रहा हूँ,Yo voy,je vais
ওয়ারি আহান দে,একটা গল্প বল,tell a story,讲一个故事,एक कहानी बताओ,contar una historia,raconter une histoire
ইলগা বেলা,হয়েচ্ছে বাদ দাও,Drop it,放下它,जाने दो,Suéltalo,Lâchez-le
খাংদা করিয়া কিহান ইলতা বারো,হঠ্যাৎ করে কি হলো আবার,What happened suddenly again?,突然又发生什么事了？,अचानक फिर क्या हुआ?,¿Qué pasó de repente otra vez?,Que s'est-il encore passé soudainement ?
বাজারে গেলেগা মোরে ডাকিস,বাজারে গেলে আমাকে ডেকো,Call me when you go to the market,你去市场时给我打电话,जब तुम बाज़ार जाओ तो मुझे बुला लेना,Llámame cuando vayas al mercado.,Appelle-moi quand tu vas au marché
জি লাগিসে বাহাজঙ্গলে,আগুন লেগেছে বাঁশজঙ্গলে,There is a fire in the bamboo forest,竹林里着火了,बांस के जंगल में आग लगी है,Hay un incendio en el bosque de bambú.,Il y a un feu dans la forêt de bambous
মুঙেদে আরাক নাটক আহান আহের,সামনে আরেকটা নাটক আসছে,Another drama is coming,又一部剧要来了,एक और ड्रामा आ रहा है,Se viene otro drama,Un autre drame arrive
কিৎতাউ না মাতি,ইঙগ ইয়া থাক,Stay here,留在这里,यहाँ रहें,quédate aquí,Reste ici
ইতাউ আয় একলগে কাম করিক,বন্ধু এসো একসাথে কাজ করি,"Friends, let's work together",朋友们，我们一起努力吧,"दोस्तों, आइए मिलकर काम करें","Amigos, trabajemos juntos.","Amis, travaillons ensemble"
মুরগ কামারার না অতারিও,মাথা ব্যাথা করছে কথা বলো না,Don't talk because your head hurts,别说话，因为你头疼,बात मत करो क्योंकि तुम्हारा सिर दर्द कर रहा है,No hables porque te duele la cabeza.,Ne parle pas parce que tu as mal à la tête
ইরেইর দিনে মি আহিতৌ,শুক্রবারে আমি আসবো,I will come on Friday,我星期五来,मैं शुक्रवार को आऊंगा,vendré el viernes,je viendrai vendredi
মিতে হারপেইলু জিঙতা নায়তাঙায়,আমি বুঝেছি টিকতে পারবো না,I know I can't stand it,我知道我无法忍受,मुझे पता है मैं इसे बर्दाश्त नहीं कर सकता,sé que no puedo soportarlo,Je sais que je ne peux pas le supporter
ইনাফি আহান বুলঙ বুলিয়া,উড়না একটা বানাবো বলে,I will make a flight,我将搭乘航班,मैं एक उड़ान भरूंगा,haré un vuelo,je ferai un vol
আজিকার দিনহান নিংশিঙ অয়া থায়তয়,আজকের দিনটি স্মরণ হয়ে থাকবে,Today will be remembered,今天将被铭记,आज का दिन याद रहेगा,hoy sera recordado,On se souviendra d'aujourd'hui
আজি গারিগ খানি নুয়ারৌরিতা,আজ শরীরটা ভালো লাগছেনা,I don't feel well today,我今天感觉不太舒服,आज मुझे अच्छा महसूस नहीं हो रहा है,no me siento bien hoy,je ne me sens pas bien aujourd'hui
নুরি খাসি লইয়া আহঙগা,কিছু সুতা কিনে নিয়ে আসি,Buy some yarn,买点毛线,कुछ सूत खरीदें,Compra algo de hilo,Achetez du fil
মাদানে হেনুর সিনচৌ খৈতাঙাই,বিকালে আমের ভর্তা খাবো,In the afternoon I will eat mango soup,下午我要吃芒果汤,दोपहर को मैं आम का सूप खाऊंगी,Por la tarde comeré sopa de mango.,L'après midi je mangerai de la soupe à la mangue
কালি পাকদাৎ যিতাঙাইগা,কাল ঘুরতে যাবো,I will go for a walk tomorrow,我明天去散步,मैं कल घूमने जाऊंगा,mañana saldré a caminar,j'irai me promener demain
পরীক্ষাহান কিসারে ইলতা,পরীক্ষা কেমন হলো,How was the exam?,考试怎么样？,परीक्षा कैसी रही?,¿Cómo estuvo el examen?,Comment s’est passé l’examen ?
রাসে নাচানি আহের হুদদা,রাসে নাচতে ইচ্ছে করে শুধু,I just want to dance,我只想跳舞,मुझे नाचना है,solo quiero bailar,je veux juste danser
রাসর এলা আহান মাৎ মাই,রাসের একটা গান বলো বান্ধবী,"Tell me a song of Ras, girlfriend",给我唱一首 Ras 的歌吧，女朋友,रस का एक गीत बताओ सखी!,"Dime una canción de Ras, novia.","Dis-moi une chanson de Ras, petite amie"
মুরগ কামারার,মাথা ব্যাথা করছে,headache,头痛,सिरदर्द,dolor de cabeza,mal de tête
কুঙগউ কুরাঙঅউ নেইসি,কেউ কোথাওই নেই,No one is anywhere,任何地方都没有人,कोई कहीं नहीं है,No hay nadie en ninguna parte,Personne n'est nulle part
বসন্ত ইনাফি অহান কি চুনাহান,বসন্ত উড়নাটা কি সুন্দর,Spring flight is beautiful,春天的飞行很美丽,वसंत की उड़ान सुन्दर है,El vuelo de primavera es hermoso.,Le vol printanier est magnifique
এলা হুনানি নুঙি লাগের মোরতা,গান শুনতে ভালো লাগে আমার,I like to listen to music,我喜欢听音乐,मुझे संगीत सुनना पसंद है,me gusta escuchar musica,J'aime écouter de la musique
তি নিকুলিয়া আয়,তুমি বেরিয়ে এসো,you come out,你出来,तुम बाहर आओ,tu sales,tu sors
আকখুলিগই মি কিতা করতু,একলা আমি কি করবো,What will I do alone?,我一个人去做什么？,मैं अकेला क्या करूंगा?,¿Qué haré solo?,Que vais-je faire seul ?
আল ধরাত গিয়া ফিট ইয়াপরসেগা,হাল চাষ করতে গিয়ে বেহুশ হয়ে গেছে,Fainted while plowing,犁地时晕倒,जुताई करते समय बेहोश हो गए,Se desmayó mientras araba,Évanoui en labourant
সওকোরা এহাৎ পহুরিগৎ হাতুরলে নুঙি ইতই,এই গরমে পুকুরে সাঁতার কাটলে ভালো লাগবে,Swimming in the pool will be nice in this summer,这个夏天去泳池里游泳会很舒服,इस गर्मी में पूल में तैरना अच्छा रहेगा,Nadar en la piscina será agradable este verano.,Nager dans la piscine sera agréable cet été
ঘুম নাহের আজিতে,ঘুম আসেনা আজকে,I can't sleep today,我今天睡不着,आज मुझे नींद नहीं आ रही,no puedo dormir hoy,Je ne peux pas dormir aujourd'hui
আয়,আঙকলপি খেলিক,Numerology player,命理玩家,अंकज्योतिष खिलाड़ी,Jugador de numerología,Joueur de numérologie
সউকরাহাত কিসারে ঘুম আহিতো?,এই গরমে কিভাবে ঘুম আসবে?,How to sleep in this summer?,这个夏天如何睡觉？,इस गर्मी में कैसे सोयें?,¿Cómo dormir en este verano?,Comment dormir cet été ?
লেরিক তামকরানি এহান নিকালাসে মানুগো কুঙ্গ,কোন মানুষটা যে এই লেখাপড়া আবিষ্কার করসে,A man who discovers this education,发现这种教育的人,एक आदमी जो इस शिक्षा की खोज करता है,Un hombre que descubre esta educación.,Un homme qui découvre cette éducation
বরন আহান দিলে সউকরা হান খানি ককিতই,বৃষ্টি পড়লে গরম কিছুটা কমবে,"If it rains, the heat will decrease a bit",如果下雨的话热量会减少一些,अगर बारिश हुई तो गर्मी कुछ कम हो जाएगी,"Si llueve, el calor disminuirá un poco.","S'il pleut, la chaleur diminuera un peu"
অহানে মি জারর পর হান নুঙেই পাওরি,এজন্য আমি শীতকাল পছন্দ করি,That's why I love winter,这就是我喜欢冬天的原因,इसलिए मुझे सर्दी पसंद है,Por eso amo el invierno,C'est pourquoi j'aime l'hiver
বিয়ান্ত ঘাসর গোজে খোয়া পরের,ভোরে ঘাসের উপরে কুয়াশা পড়ে,Early morning fog falls on the grass,清晨的雾气落在草地上,सुबह-सुबह कोहरा घास पर गिरता है,La niebla de la madrugada cae sobre la hierba,Le brouillard matinal tombe sur l'herbe
সউকরা হান বপিলে হুরকা শৌ বারো বুজন হিনপিতারা জবর,গরম বেশি হলে ছোট বাচ্চা আর বয়স্করা বেশি কষ্ট পায়,"If it is too hot, young children and the elderly suffer more",如果天气太热，幼儿和老人会受到更大的伤害,यदि बहुत अधिक गर्मी हो तो छोटे बच्चों और बुजुर्गों को अधिक परेशानी होती है,"Si hace demasiado calor, los niños pequeños y los ancianos sufren más","S'il fait trop chaud, les jeunes enfants et les personnes âgées souffrent davantage"
বিয়ান্ত ঘাসোর হাদিদ আতানি অসারে নুঙের অরতা,ভোরে ঘাসের মধ্যে হাঁটতে খুবই ভালো লাগে,It is very nice to walk in the grass in the morning,早上在草地上散步真是太好了,सुबह के समय घास पर चलना बहुत अच्छा लगता है,Es muy agradable caminar sobre la hierba por la mañana.,C'est très agréable de se promener dans l'herbe le matin
তোমার গাঙে মানু বপিসি,তোমাদের গ্রামে জনসংখ্যা বেশি,Your village has a large population,你的村庄人口众多,आपके गाँव की जनसंख्या बहुत अधिक है,Tu pueblo tiene una gran población.,Votre village a une grande population
খেতিবারি করিয়া আজিকালি অসারে লাভ নেই,আজকাল কৃষিকাজ করে খুব একটা লাভ নেই,Farming is not very profitable these days,现在农业利润不是很高,आजकल खेती करना बहुत लाभदायक नहीं है,La agricultura no es muy rentable hoy en día.,L'agriculture n'est pas très rentable de nos jours
বওবরন হান আনের,কালবৈশাখী আসছে,Kalbaisakhi is coming,卡尔拜萨基来了,कालबैसाखी आ रही है,Kalbaisakhi está llegando,Kalbaisakhi arrive
ঠেইপঙ খানা আহের,কাঠাল খেতে ইচ্ছা করে,Wants to eat wood,想吃木头,लकड़ी खाने का मन करता है,Quiere comer madera,Veut manger du bois
হেইনু খেইতও,আম খাব,eat mango,吃芒果,आम खाओ,comer mango,manger de la mangue
আগেকার ‍দিনে বপাবপিয়ে ওয়ারি হুনুইলা চল অতা এপাগা মাঙো যারগা,আগেকার দিনে দাদা-দাদীরা যে গল্প শুনাতো সেই সংস্কৃতি এখন হারিয়ে যাচ্ছে,The culture that used to be told by grandparents in earlier days is now disappearing,以前祖辈们讲述的文化现在正在消失,पहले के जमाने में दादा-दादी जो संस्कृति के बारे में बताया करते थे वह अब लुप्त होती जा रही है,La cultura que antes contaban los abuelos ahora está desapareciendo,La culture qui était autrefois racontée par les grands-parents est en train de disparaître
ইলিশা খানা আহের,ইলিশ মাছ খেতে ইচ্ছা করে,Hilsa wants to eat fish,希尔莎想吃鱼,हिल्सा मछली खाना चाहती है,Hilsa quiere comer pescado,Hilsa veut manger du poisson
সউকরা এহাত থেইপং খানা চুম নেই,এই গরমে কাঁঠাল খাওয়া উচিত নয়,Jackfruit should not be eaten in this summer,今年夏天不宜吃菠萝蜜,इस गर्मी में कटहल नहीं खाना चाहिए,La yaca no se debe comer en este verano,Le jacquier ne devrait pas être consommé cet été
নানিয়ায় ইছায়,পাট শাক আর চিংরি মাছ,Jute vegetables and chingri fish,黄麻蔬菜和清里鱼,जूट की सब्जियाँ और चिंगरी मछली,Verduras de yute y pescado chingri,Légumes en jute et poisson chingri
মোরতা এপ্পাগা গল্পোর লেরিক আহান পাকরানি আহের,আমার এই মুহূর্তে গল্পের বই একট পড়তে ইচ্ছে করছে,I want to read a story book right now,我现在想读一本故事书,मैं अभी एक कहानी की किताब पढ़ना चाहता हूं,Quiero leer un libro de cuentos ahora mismo.,Je veux lire un livre d'histoire maintenant
গাঙর বুজনে মাত্তারা হাবিতা হুনলে নার,গ্রামের  মুরব্বিদের সকল কথা শুনলে হয় না,It is not necessary to listen to all the words of the village teachers,没必要全听村里老师的话,गाँव के अध्यापकों की सारी बातें सुनना आवश्यक नहीं है,No es necesario escuchar todas las palabras de los maestros del pueblo.,Il n'est pas nécessaire d'écouter tous les mots des enseignants du village
মি হেইনু খাওরি,আমি আম খাই,i eat mango,我吃芒果,मैं आम खाता हूं,yo como mango,je mange de la mangue
ইমার ঠার পুঞ্চি পালক,মায়ের ভাষা বেচে থাক,Live your mother tongue,活出你的母语,अपनी मातृभाषा को जियो,Vive tu lengua materna,Vivez votre langue maternelle
ইমা তর মহিমা তি,মা তুমার মহিমা তুমি,Your majesty is you,陛下就是你,आपकी महिमा आप ही हैं,Tu majestad eres tú,Votre majesté c'est vous
ইতাও কোহান যারগাতা,বন্ধু কোথায় যাচ্ছ,where are you going friend,你要去哪里朋友,कहाँ जा रहे हो दोस्त,donde vas amigo,où vas-tu mon ami
আইসক্রিম আগো খানা আহের,আইসক্রিম  খেতে ইচ্ছা করছে,I want to eat ice cream,我想吃冰淇淋,मैं आइसक्रीम खाना चाहता हूँ,quiero comer helado,je veux manger de la glace
সওকরার জবর,বেশি গরম লাগছে,It feels too hot,感觉太热了,बहुत गर्मी लगती है,se siente demasiado caliente,Il fait trop chaud
সওকরাহানে গরে থানি নাহের,গরমের জন্য বাড়িতে থাকতে পারছি না,Can't stay home for summer,暑假不能呆在家里,गर्मियों में घर पर नहीं रह सकते,No puedo quedarme en casa durante el verano,Je ne peux pas rester à la maison pour l'été
মি চশমা পিদুরি,আমি চশমা পরি,i wear glasses,我戴眼镜,मैं चश्मा पहनने,uso gafas,je porte des lunettes
কইদে কোহান গেলাগা গ,কই তুমি শুনতে পাচ্ছ,where can you hear,你在哪里可以听到,तुम कहाँ सुन सकते हो,donde puedes escuchar,où peux-tu entendre
মাই কিহান খবর,বান্ধবি কি খবর,what's up girlfriend,女朋友怎么了,क्या हाल है गर्लफ्रेंड,que pasa novia,quoi de neuf petite amie
আইত্তে ঘরে আহিস,দেখতেই নাই,can't see,看不到,देख नहीं सकते,no puedo ver,je ne peux pas voir
পেতগত রাহু হমাসিথাঙ,এত খিদা কিসের,Why so hungry?,怎么这么饿？,इतनी भूख क्यों?,¿Por qué tanta hambre?,Pourquoi avoir si faim ?
মি পাহুরানি নুয়ারলু কালিকার অহন,কালকের ঘটনা আমি ভুলতে পারব না,I will never forget what happened yesterday,我永远不会忘记昨天发生的事情,कल जो हुआ उसे मैं कभी नहीं भूलूंगा,Nunca olvidaré lo que pasó ayer.,Je n'oublierai jamais ce qui s'est passé hier
লেহাও ফুলর অসারে চুনা ইসত,চাপা ফুলের মতো দেখতে সুন্দর তুমি,You look beautiful like a pressed flower,你看起来像一朵压花一样美丽,तुम दबे हुए फूल की तरह खूबसूरत लग रही हो,Te ves hermosa como una flor prensada.,Tu es belle comme une fleur pressée
তরে চাবেলতও,তোমাকে দেখে নিব,I will see you,我会见到你,में तुम्हे देख लुगा,te veré,je te verrai
কিত্তাও নেই করানিরতা,কিছু করার নেই,nothing to do,无事可做,कुछ भी नहीं करना,nada que hacer,rien à faire
বুকুর গ আকগত মুরগ ফাটা ইতও হানে,এক কিলে মাথা ফাটিয়ে দেব,I'll blow your head off in one blow,我会一击打爆你的头,मैं एक ही झटके में तुम्हारा सिर उड़ा दूंगा,Te volaré la cabeza de un solo golpe,Je vais te faire exploser la tête d'un seul coup
মি কিত্তাও নাকরিসু নাই,আমি কিছু করি নাই,i didn't do anything,我什么也没做,मैंने कुछ नहीं किया,no hice nada,je n'ai rien fait
লক্ষিয়ে ভাত হিজিরি,লক্ষি ভাত রান্না করে,Lakshi cooks rice,拉克西煮饭,लक्ष्मी चावल पकाती है,Lakshi cocina arroz,Lakshi cuisine du riz
নাসানি অকরলো,নাচতে শুরু করল,Started dancing,开始跳舞,नाचने लगा,Empezó a bailar,J'ai commencé à danser
বেরেঙ্গার পান্টেই খানা আহের,ঢেরশ ভর্তা খেতে ইচ্ছা করে,Dherash wants to eat bharta,Dherash 想吃 Bharta,धीरेश भर्ता खाना चाहता है,Dherash quiere comer bharta,Dherash veut manger du bharta
নুয়ারবে মরে মারানি,আমাকে মারতে পারবে না,can't kill me,杀不了我,मुझे नहीं मार सकते,no puedes matarme,je ne peux pas me tuer
গরমে পানি বপকরে পিনা,গরমে বেশি করে পানি খেতে হবে,Drink more water in summer,夏天多喝水,गर्मियों में पानी अधिक पियें,Bebe más agua en verano,Boire plus d'eau en été
সেন্দাহান ইল আত জাঙ ধোয়া লেরিকহাত বহেই,সন্ধা হলো হাত পা ধোয়ে পড়তে বস,Sit down to wash hands and feet in the evening,晚上坐下来洗手洗脚,शाम को हाथ-पैर धोने बैठें,Siéntate a lavarte las manos y los pies por la noche.,Asseyez-vous pour vous laver les mains et les pieds le soir
মর এলা হান হুনিয়া,আমার গান শুনো,listen to my song,听我的歌,मेरा गाना सुनो,escucha mi cancion,écoute ma chanson
গুজেবরনহান মারিয়া দে,ধূর্বৃষ্টি জোরে পড়ো,Read the dust aloud,大声朗读尘埃,धूल को जोर से पढ़ें,Lee el polvo en voz alta,Lisez la poussière à haute voix
রোদ গ জবর ইছে,বাহিরে না নুকুলিয়,Do not go outside,不要外出,बाहर मत जाना,no salgas afuera,Ne sortez pas
নাইল নাই তি করলে অহন,তুমি যেটা করেছ সেটা হয়নি,What you did didn't happen,你所做的事并没有发生,जो तुमने किया वह नहीं हुआ,lo que hiciste no pasó,Ce que tu as fait n'est pas arrivé
প্রভু বরন আহান দে,প্রভু বৃষ্টি দাও,Lord give rain,愿主赐下雨水,हे प्रभु वर्षा करो,Señor da lluvia,Seigneur donne la pluie
হারু নাইলু,খুশি হলাম না,I was not happy,我不高兴,मैं खुश नहीं था,no estaba feliz,je n'étais pas content
তরে থাকাত,তোমাকে ধন্যবাদ,thank you,谢谢,धन्यवाद,gracias,merci
কিসারে ইলহান,কিভাবে হলো,how did it happen,它是怎么发生的,यह कैसे हुआ,Cómo ha ocurrido,Comment est-ce arrivé
মি কাম করুরি,আমি কাজ করছি,i am working,我在工作,मैं काम कर रहा हूँ,estoy trabajando,je suis en train de travailler
কারেন্ট হান গেলগা,কারেন্ট চলে গেছে,The current is gone,电流消失了,करंट चला गया,La corriente se ha ido,Le courant est parti
আহিল এপাগা,এখন আসছে,coming now,现在来,आ रहा है,viniendo ahora,j'arrive maintenant
মরাঙ পালা মেকুরি আগ  আছে,আমার কাছে পোষা বিড়াল একটা আছে,I have a pet cat,我有一只宠物猫,मेरे पास एक पालतू बिल्ली है,tengo un gato como mascota,J'ai un chat de compagnie
মিতে মাতলুনাই,আমি তো বললাম,I said,我说,मैंने कहा था,Yo dije,J'ai dit
নাহিসে সাত,আসে নাই মনে হয়,It doesn't seem to come,好像没有来,ऐसा लगता नहीं है,no parece venir,Il ne semble pas venir
কিজাত রোদ গ পুরে বেল্লো,কি রোদ পুড়ে গেলাম,I got sunburned,我被晒伤了,मैं धूप से झुलस गया,me quemé con el sol,j'ai eu un coup de soleil
কিজাত রোদ গ পুড়ে বেললো,কি রোদ পুড়ে গেলাম,I got sunburned,我被晒伤了,मैं धूप से झुलस गया,me quemé con el sol,j'ai eu un coup de soleil
বেলিটিক গত না নুকুলিয়,চড়নদাপায় ধরতাই হানে,Chandapaye dhartai hane,昌达帕耶·达尔泰·哈内,चंदपाये धरतै हने,Chandapaye dhartai hane,Chandapaye Dhartai Hane
কিয়া ইংগো ইয়া আসত,চুপ কেনো,why shut up,为什么闭嘴,चुप क्यों रहें?,¿Por qué callarte?,pourquoi se taire
বপ্পরে না অতারি,বেশি কথা বলো না,don't talk too much,别说太多,ज्यादा बात मत करो,no hables demasiado,ne parle pas trop
ইংগো ইয়া থাক,চুপ হয়ে থাকো,shut up,住口,चुप रहो,callarse la boca,fermez-la
মি ফুটবল খেলনি নুয়ারুরি,আমি ফুটবল খেলতে পারনি না,I couldn't play football,我不能踢足球,मैं फुटबॉल नहीं खेल सका,no pude jugar futbol,Je ne pouvais pas jouer au football
মি আগে ফুটবল খেল্লুগ,আমি আগে ফুটবল খেলতাম,I used to play football,我以前踢足球,मैं फुटबॉल खेलता था,yo solía jugar al fútbol,Je jouais au football
তেই ভলিবল খেলিরি,সে ভলিবল খেলে,He plays volleyball,他打排球,वह वॉलीबॉल खेलता है,el juega voleibol,Il joue au volley
লেখতে লেখতে আথান দুখানি একরল,লেখতে লেখতে হাত ব্যাথা করছে,Hand hurts while writing,写字的时候手疼,लिखते समय हाथ दुखता है,Me duele la mano al escribir,J'ai mal à la main en écrivant
মি মেকুরি দেখে নুয়ারুরি,আমি বিড়াল পছন্দ করি না,I don't like cats,我不喜欢猫,मुझे बिल्लियाँ पसंद नहीं हैं,no me gustan los gatos,je n'aime pas les chats
মি বাঘ দরপাওরি,আমি বাঘ ভয় পাই,I'm afraid of tigers,我怕老虎,मुझे बाघों से डर लगता है,tengo miedo de los tigres,j'ai peur des tigres
হাই বিদ্যা,হ্যাঁ সত্যি,yes true,是的，是的,हाँ सत्य,si cierto,oui c'est vrai
মি অউ দুখাওরি,আমারও ব্যাথ্যা করছে,I'm sick too,我也有病,मैं भी बीमार हूं,yo también estoy enfermo,je suis malade aussi
পারুরি নাই,পারো তো,you can,你可以,तुम कर सकते हो,puede,tu peux
তর আহিংহান চুনা নাইসে,তোমার জামা সুন্দর না,Your clothes are not nice,你的衣服不好看,तुम्हारे कपड़े अच्छे नहीं हैं,Tu ropa no es bonita,Tes vêtements ne sont pas beaux
পাকদিয়া আহিকগা,ঘুরে আসি,come around,过来,मान जाओ,venir en,venir
আকমু বরণ বারো আকমু রুদগ,কখনো বৃষ্টি আবার কখনো রোদ,Sometimes rain and sometimes sun,时而下雨，时而阳光,कभी बारिश तो कभी धूप,A veces llueve y a veces sol.,Parfois pluie et parfois soleil
পাকদানি আহের,ঘুরতে ইচ্ছা করছে,wants to travel,想去旅行,यात्रा करना चाहता है,quiere viajar,veut voyager
সমাজর কামে হাবি একলগে মুঙেদে,সমাজের কাজে সবাই একসাথে সামনে,Everyone is forward together in the work of the society,大家在社会工作中共同前进,समाज के कार्यों में सभी लोग मिलकर आगे रहते हैं,Todos avanzamos juntos en el trabajo de la sociedad.,Tout le monde avance ensemble dans le travail de la société
আরতা মাতানিরতা নেই,আর কিছু বলার নাই,Nothing else to say,没什么可说的,और कुछ नहीं कहना है,Nada más que decir,Rien d'autre à dire
আহিং আহান লুয়াদে,একটা জামা কিনে দাও,buy a dress,买一件衣服,एक पोशाक खरीदें,comprar un vestido,acheter une robe
আসতা দিনহান অগরে বাসিয়া গেলগা,সারাদিন তার অপেক্ষা করে গেলো,He waited all day,他等了一整天,वह पूरे दिन इंतजार करता रहा,esperó todo el día,Il a attendu toute la journée
আজি একাদশী হারপিলে,আজ একাদশী বুঝেছ,You understand Ekadashi today,今天你了解了 Ekadashi,आज आप समझें एकादशी,Entiendes Ekadashi hoy,Vous comprenez Ekadashi aujourd'hui
আরতা কাম করানি নাহের,আর কাজ করতে ইচ্ছা করছে না,Not wanting to work anymore,不想再工作了,अब काम नहीं करना चाहता,ya no quiero trabajar,Je ne veux plus travailler
খানি বাসা,একটু অপেক্ষা কর,wait a minute,等一下,ज़रा ठहरिये,espera un minuto,attends une minute
তুমি কিতা হারপিতাই ওয়ারিহান,তোমরা কি বুঝবে গল্পটা,Do you understand the story?,你明白这个故事吗？,क्या आप कहानी समझते हैं?,¿Entiendes la historia?,Comprenez-vous l'histoire?
থেংহান দুখাওরি,পা ব্যাথ্যা করছে,Legs are hurting,腿很痛,पैर दर्द कर रहे हैं,me duelen las piernas,Les jambes font mal
মরকশির দামহান বপিসে এমতাগা,মরিচের দাম বেশি এবার,The price of pepper is high this time,这次辣椒价格高,इस बार काली मिर्च की कीमत अधिक है,El precio de la pimienta esta vez es alto,Le prix du poivre est élevé cette fois
মি আহুরি খানি বাসা,আমি আসছি একটু  অপেক্ষা কর,"I'm coming, wait a minute",我来了，等一下,"मैं आ रहा हूं, एक मिनट रुकिए","ya voy, espera un minuto","J'arrive, attends une minute"
মরে নিয়া যাগা,আমাকে নিয়ে যাও,take me,带我去,मुझे भी साथ लो,llévame,prends-moi
দউ হমাদে,ঈশ্বরকে ভক্তি কর,Worship God,敬拜神,भगवान की आराधना करें,Adorar a Dios,Adorer Dieu
থেয়ো দূরিহাৎ যাগা,সরো দূরে যাও,move away,走开,टलना,alejarse,s'éloigner
আরাক খানির কাজে,আরও একটুর জন্য,for a little longer,再久一点,थोड़ी देर के लिए,por un poco más,pendant un peu plus longtemps
পিদানির ফুতি নেই,পরার কাপড় নেই,No clothes to wear,没有衣服穿,पहनने के लिए कपड़े नहीं हैं,Sin ropa para usar,Pas de vêtements à porter
যিকগা সখি পানি আনিকগা,চলো সই পানি আনি,Let's get some water,我们去拿点水吧,चलो थोड़ा पानी ले आओ,vamos a tomar un poco de agua,Prenons de l'eau
দলা চেহাৎ তোর নাঙহান ইকরিয়া দে,সাদা কাগজে তোমার নাম লিখে দাও,Write your name on the white paper,在白纸上写下你的名字,श्वेत पत्र पर अपना नाम लिखें,Escribe tu nombre en el papel blanco.,Écrivez votre nom sur le livre blanc
কয়হান মাত,কয়টা বল,tell me how many,告诉我有多少,मुझे बताओ कितने,dime cuantos,dis-moi combien
সেন্ধ্যাহাৎ না নিকুলিস,সন্ধ্যায় বের হবেনা,Will not go out in the evening,晚上不会出去,शाम को बाहर नहीं निकलेंगे,No saldrá por la noche,Je ne sortirai pas le soir
গরে মানু আহিসি থককো আয় তি,ঘরে মানুষ এসেছে তাড়াতাড়ি এসো তুমি,"People have come home, come quickly",人家已经回家了，快来吧,"लोग घर आ गये हैं, जल्दी आ जाओ","La gente ha vuelto a casa, ven rápido.","Les gens sont rentrés à la maison, venez vite"
এমতাগা পূর্ণিমারাসে যিতওগা যেসারেউ,এবার রাসপূর্ণিমাতে যাবো যেভাবে হোক,This time I will go to Raspurnima anyway,这次无论如何我都会去拉斯普尼玛,इस बार तो मैं रसपूर्णिमा में हर हाल में जाऊँगा,Esta vez iré a Raspurnima de todos modos.,"Cette fois, j'irai à Raspurnima de toute façon"
বি-হার চে-হানি বিসারিয়া নাপাউরি,জমির কাগজগুলি খোঁজে পাচ্ছিনা,I can't find the land papers,我找不到土地文件,जमीन के कागजात नहीं मिल रहे हैं,No encuentro los papeles de la tierra.,Je ne trouve pas les papiers fonciers
মেয়েকে মেয়েকে,অক্ষরে অক্ষরে,letter by letter,逐字逐句,पत्र के बाद पत्र,letra por letra,lettre par lettre
পহুরিগর নিমে,পুকুরের গভীরে,Deep in the pond,池塘深处,तालाब में गहरा,En lo profundo del estanque,Au fond de l'étang
পাহুরে বেলাসু যানে তি আহিতেই অহান,ভুলে গেছি একেবারে তুমি যে আসবে,I completely forgot that you will come,我完全忘记了你会来,मैं तो भूल ही गया था कि तुम आओगे,Olvidé por completo que vendrás,J'ai complètement oublié que tu viendrais
কাকালিহানে বপিয়া হিনকরের এমতাগা,এবার কোমরটা বেশি কষ্ট দিচ্ছে,Now the waist is causing more pain,现在腰部更加疼痛,अब कमर में ज्यादा दर्द होने लगा है,Ahora la cintura me duele más,"Maintenant, la taille cause plus de douleur"
গাঙাইলগ বাগে যারগা,পাড় ভেঙে যাচ্ছে,The shore is breaking,海岸正在破裂,किनारा टूट रहा है,La orilla se está rompiendo,Le rivage se brise
গুরুসাঙগৎ হমা নুয়ারলু গৎগই,গোয়াল ঘরে ঢুকতে পারছিনা গন্ধে,I can't enter the cattle house because of the smell,因为臭味我不敢进牛舍,मैं बदबू के कारण मवेशियों के घर में प्रवेश नहीं कर सकता,No puedo entrar al gallinero por el olor.,Je ne peux pas entrer dans l'étable à cause de l'odeur
পিহিরে ডাক আহক,পিসিকে ডাকো আসুক,Call the PC,呼叫电脑,पीसी को कॉल करें,Llame a la PC,Appelez le PC
বুইসান দের সাৎ,ভূমিকম্প দিচ্ছে মনে হয়,It seems like an earthquake,好像地震了,ऐसा लगता है मानो भूकंप आ गया हो,Parece un terremoto,On dirait un tremblement de terre
অরে বুজিসে পথহান,পথ কাঁদায় ভরা,The path is full of tears,路上满是泪水,रास्ता आंसुओं से भरा है,El camino está lleno de lágrimas.,Le chemin est plein de larmes
